                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                  1.091,                0.94197,                 1.3002,                  1.136,                 1.1418,                 1.2963,                 0.8294,                0.63934,                 0.7664,                0.46611,                 1.4035,                0.99706,                 1.5365,                 1.4157,                 1.1724,                 1.4635,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.0311,                0.86713,                 1.2436,                 1.0994,                 1.0139,                 1.2472,                0.74774,                0.75319,                0.80775,                0.49507,                 1.3479,                0.95187,                 1.4923,                 1.4048,                 1.1407,                 1.4369,               0.000416,               0.000416,               0.000416
                     83,                 1.0781,                0.93022,                 1.2893,                 1.1598,                 1.0824,                  1.306,                0.69455,                0.78282,                0.80885,                0.49408,                 1.3258,                0.96982,                 1.4743,                 1.4477,                 1.0473,                 1.4595,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.0909,                0.91347,                 1.2854,                 1.1539,                 1.0774,                 1.2949,                0.69217,                0.71311,                0.76994,                0.47048,                 1.4417,                0.96996,                 1.5946,                 1.4846,                 1.1014,                 1.5412,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.0866,                 0.8949,                 1.2979,                 1.1401,                 1.0563,                  1.296,                0.83941,                0.72836,                0.80153,                0.46982,                  1.458,                0.98406,                 1.5864,                 1.5249,                 1.0642,                 1.5608,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.0942,                0.91089,                 1.2982,                 1.1695,                  1.085,                 1.3169,                0.76757,                0.72951,                0.78869,                0.48248,                 1.4156,                0.98649,                 1.5624,                 1.3798,                 1.1443,                  1.446,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.0493,                0.88515,                 1.2643,                 1.0954,                 1.0554,                 1.2603,                 0.7157,                0.74285,                0.78219,                0.47259,                 1.4251,                 1.0215,                 1.5728,                 1.4379,                 1.1314,                  1.499,               0.000317,               0.000317,               0.000317
                     88,                 1.0833,                0.89709,                 1.2652,                 1.1317,                 1.0743,                 1.2729,                0.74862,                0.68852,                0.76124,                0.44396,                 1.4811,                 1.0319,                 1.6324,                 1.4746,                 1.1778,                 1.5703,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.0469,                0.87484,                 1.2648,                 1.1067,                 1.0152,                  1.259,                0.76331,                0.71371,                0.78142,                0.46082,                  1.438,                0.98471,                 1.5765,                 1.4921,                 1.0912,                 1.5635,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.0492,                0.86522,                 1.2607,                 1.0996,                 1.0061,                 1.2575,                0.77274,                 0.7459,                0.80813,                0.47356,                 1.4115,                0.95429,                 1.5385,                 1.4594,                 1.0616,                 1.5193,              0.0002576,              0.0002576,              0.0002576
